Date,IT Dep.,CostElement,Country,Budget,Forecast
1/02/2020,Administration,Employee Performance,USA,87,27
1/03/2020,Administration,Employee Performance,USA,87,150
1/04/2020,Administration,Employee Performance,USA,87,182
1/05/2020,Administration,Employee Performance,USA,87,"14,265"
1/06/2020,Administration,Employee Performance,USA,87,383
1/07/2020,Administration,Employee Performance,USA,87,87
1/08/2020,Administration,Employee Performance,USA,87,87
1/09/2020,Administration,Employee Performance,USA,87,87
1/10/2020,Administration,Employee Performance,USA,87,87
1/11/2020,Administration,Employee Performance,USA,87,87
1/12/2020,Administration,Employee Performance,USA,87,87
1/01/2020,Administration,External Labor,USA,"15,300","24,376"
1/02/2020,Administration,External Labor,USA,"15,300","1,205"
1/03/2020,Administration,External Labor,USA,"15,300","96,906"
1/04/2020,Administration,External Labor,USA,"21,900","31,261"
1/05/2020,Administration,External Labor,USA,"21,300","13,056"
1/06/2020,Administration,External Labor,USA,"21,300","23,936"
1/07/2020,Administration,External Labor,USA,"114,300","60,450"
1/08/2020,Administration,External Labor,USA,"114,300","108,000"
1/09/2020,Administration,External Labor,USA,"114,300","108,000"
1/10/2020,Administration,External Labor,USA,"120,330","114,030"
1/11/2020,Administration,External Labor,USA,"144,300","138,000"
1/12/2020,Administration,External Labor,USA,"144,300","138,000"
1/01/2020,Administration,Hardware Maintenance,USA,135,"5,345"
1/02/2020,Administration,Hardware Maintenance,USA,135,"-5,345"
1/04/2020,Administration,Hardware Maintenance,USA,135,"86,480"
1/07/2020,Administration,Hardware Maintenance,USA,135,135
1/08/2020,Administration,Hardware Maintenance,USA,135,135
1/09/2020,Administration,Hardware Maintenance,USA,135,135
1/10/2020,Administration,Hardware Maintenance,USA,135,135
1/11/2020,Administration,Hardware Maintenance,USA,135,135
1/12/2020,Administration,Hardware Maintenance,USA,135,135
1/01/2020,Administration,Internal Labor,United Kingdom,"-16,369","21,365"
1/02/2020,Administration,Internal Labor,United Kingdom,"-16,369","23,189"
1/03/2020,Administration,Internal Labor,United Kingdom,"-16,369","21,311"
1/04/2020,Administration,Internal Labor,United Kingdom,"-16,369","22,211"
1/05/2020,Administration,Internal Labor,United Kingdom,"-16,369","23,114"
1/06/2020,Administration,Internal Labor,United Kingdom,"-16,369","22,775"
1/07/2020,Administration,Internal Labor,United Kingdom,"-16,369","-28,061"
1/08/2020,Administration,Internal Labor,United Kingdom,"-16,369","-28,061"
1/09/2020,Administration,Internal Labor,United Kingdom,"-16,369","-28,061"
1/10/2020,Administration,Internal Labor,United Kingdom,"-16,369","-28,061"
1/11/2020,Administration,Internal Labor,United Kingdom,"-16,369","-28,061"
1/12/2020,Administration,Internal Labor,United Kingdom,"-16,369","-28,061"
1/01/2020,Administration,Internal Labor,USA,"106,524","90,994"
1/02/2020,Administration,Internal Labor,USA,"127,768","103,135"
1/03/2020,Administration,Internal Labor,USA,"111,520","116,809"
1/04/2020,Administration,Internal Labor,USA,"106,811","92,221"
1/05/2020,Administration,Internal Labor,USA,"106,811","126,128"
1/06/2020,Administration,Internal Labor,USA,"106,811","95,333"
1/07/2020,Administration,Internal Labor,USA,"107,178","107,178"
1/08/2020,Administration,Internal Labor,USA,"107,178","107,178"
1/09/2020,Administration,Internal Labor,USA,"107,178","107,178"
1/10/2020,Administration,Internal Labor,USA,"108,580","108,580"
1/11/2020,Administration,Internal Labor,USA,"108,580","108,580"
1/12/2020,Administration,Internal Labor,USA,"108,623","108,623"
1/06/2020,Administration,Moving,USA,"2,400","4,081"
1/01/2020,Administration,Other,United Kingdom,"-14,833",18
1/02/2020,Administration,Other,United Kingdom,"-14,833",6
1/03/2020,Administration,Other,United Kingdom,"-14,833",13
1/01/2020,Administration,Other,USA,"30,632","-3,239"
1/02/2020,Administration,Other,USA,632,"-5,109"
1/03/2020,Administration,Other,USA,"21,182","29,563"
1/04/2020,Administration,Other,USA,632,"8,125"
1/05/2020,Administration,Other,USA,632,669
1/06/2020,Administration,Other,USA,"21,182",182
1/07/2020,Administration,Other,USA,632,632
1/08/2020,Administration,Other,USA,"24,632","24,632"
1/09/2020,Administration,Other,USA,"20,132","20,132"
1/10/2020,Administration,Other,USA,"1,682","1,682"
1/11/2020,Administration,Other,USA,632,632
1/12/2020,Administration,Other,USA,"20,132","20,132"
1/01/2020,Administration,Outbound Allocations,United Kingdom,721,685
1/02/2020,Administration,Outbound Allocations,United Kingdom,721,708
1/03/2020,Administration,Outbound Allocations,United Kingdom,721,717
1/04/2020,Administration,Outbound Allocations,United Kingdom,721,714
1/05/2020,Administration,Outbound Allocations,United Kingdom,721,743
1/06/2020,Administration,Outbound Allocations,United Kingdom,721,732
1/07/2020,Administration,Outbound Allocations,United Kingdom,721,721
1/08/2020,Administration,Outbound Allocations,United Kingdom,721,721
1/09/2020,Administration,Outbound Allocations,United Kingdom,721,721
1/10/2020,Administration,Outbound Allocations,United Kingdom,721,721
1/11/2020,Administration,Outbound Allocations,United Kingdom,721,721
1/12/2020,Administration,Outbound Allocations,United Kingdom,721,721
1/05/2020,Administration,Recognition,USA,23,44
1/07/2020,Administration,Recognition,USA,23,23
1/08/2020,Administration,Recognition,USA,23,23
1/09/2020,Administration,Recognition,USA,23,23
1/10/2020,Administration,Recognition,USA,23,23
1/11/2020,Administration,Recognition,USA,23,23
1/12/2020,Administration,Recognition,USA,23,23
1/01/2020,Administration,Supplies,USA,458,17
1/02/2020,Administration,Supplies,USA,458,30
1/03/2020,Administration,Supplies,USA,458,466
1/04/2020,Administration,Supplies,USA,458,244
1/05/2020,Administration,Supplies,USA,458,227
1/07/2020,Administration,Supplies,USA,458,458
1/08/2020,Administration,Supplies,USA,458,458
1/09/2020,Administration,Supplies,USA,458,458
1/10/2020,Administration,Supplies,USA,458,458
1/11/2020,Administration,Supplies,USA,458,458
1/12/2020,Administration,Supplies,USA,458,458
1/02/2020,Administration,Telecomm,USA,"3,000","5,219"
1/03/2020,Administration,Telecomm,USA,"3,000","1,073"
1/04/2020,Administration,Telecomm,USA,"3,000","1,140"
1/06/2020,Administration,Telecomm,USA,"3,000","1,685"
1/07/2020,Administration,Telecomm,USA,"3,000","3,000"
1/08/2020,Administration,Telecomm,USA,"3,000","3,000"
1/09/2020,Administration,Telecomm,USA,"3,000","3,000"
1/10/2020,Administration,Telecomm,USA,"3,000","3,000"
1/11/2020,Administration,Telecomm,USA,"3,000","3,000"
1/12/2020,Administration,Telecomm,USA,"3,000","3,000"
1/03/2020,Administration,Training,USA,"1,458",88
1/05/2020,Administration,Training,USA,"1,563",525
1/06/2020,Administration,Training,USA,"1,563","1,069"
1/07/2020,Administration,Training,USA,"1,563","1,563"
1/08/2020,Administration,Training,USA,"1,458","1,563"
1/09/2020,Administration,Training,USA,"1,458","1,458"
1/10/2020,Administration,Training,USA,"1,458","1,458"
1/03/2020,Administration,Travel,USA,"18,750","10,518"
1/06/2020,Administration,Travel,USA,"18,750","17,817"
1/12/2020,Administration,Travel,USA,"18,750","18,600"
1/01/2020,Architecture,Depreciation,USA,693,693
1/02/2020,Architecture,Depreciation,USA,693,693
1/03/2020,Architecture,Depreciation,USA,693,693
1/04/2020,Architecture,Depreciation,USA,693,693
1/05/2020,Architecture,Depreciation,USA,693,693
1/06/2020,Architecture,Depreciation,USA,693,693
1/07/2020,Architecture,Depreciation,USA,693,693
1/08/2020,Architecture,Depreciation,USA,693,693
1/09/2020,Architecture,Depreciation,USA,693,693
1/10/2020,Architecture,Depreciation,USA,693,693
1/11/2020,Architecture,Depreciation,USA,693,693
1/12/2020,Architecture,Depreciation,USA,693,693
1/02/2020,Architecture,Employee Performance,USA,58,218
1/03/2020,Architecture,Employee Performance,USA,58,4
1/04/2020,Architecture,Employee Performance,USA,58,330
1/07/2020,Architecture,Employee Performance,USA,58,20
1/08/2020,Architecture,Employee Performance,USA,58,20
1/09/2020,Architecture,Employee Performance,USA,58,20
1/10/2020,Architecture,Employee Performance,USA,58,20
1/11/2020,Architecture,Employee Performance,USA,58,20
1/12/2020,Architecture,Employee Performance,USA,58,20
1/07/2020,Architecture,External Labor,USA,"1,265","2,157"
1/08/2020,Architecture,External Labor,USA,"1,265","2,157"
1/09/2020,Architecture,External Labor,USA,"1,265","2,157"
1/10/2020,Architecture,External Labor,USA,"1,265","2,157"
1/11/2020,Architecture,External Labor,USA,"1,265","2,157"
1/12/2020,Architecture,External Labor,USA,"1,265","2,157"
1/03/2020,Architecture,Hardware,USA,"1,000",240
1/05/2020,Architecture,Hardware,USA,"1,000",500
1/07/2020,Architecture,Hardware,USA,"1,000","1,609"
1/08/2020,Architecture,Hardware,USA,"1,000","1,609"
1/09/2020,Architecture,Hardware,USA,"1,000","1,609"
1/10/2020,Architecture,Hardware,USA,"1,000","1,609"
1/11/2020,Architecture,Hardware,USA,"1,000","1,609"
1/12/2020,Architecture,Hardware,USA,"1,000","1,609"
1/07/2020,Architecture,Hardware Maintenance,USA,15,15
1/08/2020,Architecture,Hardware Maintenance,USA,15,15
1/09/2020,Architecture,Hardware Maintenance,USA,15,15
1/10/2020,Architecture,Hardware Maintenance,USA,15,15
1/11/2020,Architecture,Hardware Maintenance,USA,15,15
1/12/2020,Architecture,Hardware Maintenance,USA,15,15
1/01/2020,Architecture,Internal Labor,USA,"40,259","41,537"
1/02/2020,Architecture,Internal Labor,USA,"41,063","43,028"
1/03/2020,Architecture,Internal Labor,USA,"44,855","45,385"
1/04/2020,Architecture,Internal Labor,USA,"41,232","41,175"
1/05/2020,Architecture,Internal Labor,USA,"41,232","39,924"
1/06/2020,Architecture,Internal Labor,USA,"41,232","40,012"
1/07/2020,Architecture,Internal Labor,USA,"41,300","41,300"
1/08/2020,Architecture,Internal Labor,USA,"41,149","41,149"
1/09/2020,Architecture,Internal Labor,USA,"40,889","40,889"
1/10/2020,Architecture,Internal Labor,USA,"41,325","41,325"
1/11/2020,Architecture,Internal Labor,USA,"41,192","41,192"
1/12/2020,Architecture,Internal Labor,USA,"41,184","41,184"
1/02/2020,Architecture,Other,USA,300,"9,379"
1/03/2020,Architecture,Other,USA,"9,675","-1,583"
1/04/2020,Architecture,Other,USA,300,"-1,583"
1/05/2020,Architecture,Other,USA,300,"-1,583"
1/06/2020,Architecture,Other,USA,300,-375
1/07/2020,Architecture,Other,USA,300,514
1/08/2020,Architecture,Other,USA,300,514
1/09/2020,Architecture,Other,USA,"7,050","7,264"
1/10/2020,Architecture,Other,USA,"7,050","7,264"
1/11/2020,Architecture,Other,USA,"7,050","7,264"
1/12/2020,Architecture,Other,USA,"7,050","7,264"
1/07/2020,Architecture,Recognition,USA,15,26
1/08/2020,Architecture,Recognition,USA,15,26
1/09/2020,Architecture,Recognition,USA,15,26
1/10/2020,Architecture,Recognition,USA,15,26
1/11/2020,Architecture,Recognition,USA,15,26
1/12/2020,Architecture,Recognition,USA,15,26
1/07/2020,Architecture,Software,USA,625,"1,071"
1/08/2020,Architecture,Software,USA,625,"1,071"
1/09/2020,Architecture,Software,USA,625,"1,071"
1/10/2020,Architecture,Software,USA,625,"1,071"
1/11/2020,Architecture,Software,USA,625,"1,071"
1/12/2020,Architecture,Software,USA,625,"1,071"
1/01/2020,Architecture,Supplies,USA,311,26
1/02/2020,Architecture,Supplies,USA,311,2
1/03/2020,Architecture,Supplies,USA,311,27
1/04/2020,Architecture,Supplies,USA,311,79
1/06/2020,Architecture,Supplies,USA,311,90
1/07/2020,Architecture,Supplies,USA,311,311
1/08/2020,Architecture,Supplies,USA,311,311
1/09/2020,Architecture,Supplies,USA,311,311
1/10/2020,Architecture,Supplies,USA,311,311
1/11/2020,Architecture,Supplies,USA,311,311
1/12/2020,Architecture,Supplies,USA,311,311
1/01/2020,Architecture,Taxes,USA,28,48
1/02/2020,Architecture,Taxes,USA,28,39
1/03/2020,Architecture,Taxes,USA,28,44
1/04/2020,Architecture,Taxes,USA,28,44
1/05/2020,Architecture,Taxes,USA,28,44
1/06/2020,Architecture,Taxes,USA,28,44
1/07/2020,Architecture,Taxes,USA,28,44
1/08/2020,Architecture,Taxes,USA,28,44
1/09/2020,Architecture,Taxes,USA,28,44
1/10/2020,Architecture,Taxes,USA,28,44
1/11/2020,Architecture,Taxes,USA,28,44
1/12/2020,Architecture,Taxes,USA,28,44
1/02/2020,Architecture,Telecomm,USA,768,263
1/03/2020,Architecture,Telecomm,USA,768,516
1/04/2020,Architecture,Telecomm,USA,768,178
1/06/2020,Architecture,Telecomm,USA,768,771
1/07/2020,Architecture,Telecomm,USA,768,"1,180"
1/08/2020,Architecture,Telecomm,USA,768,"1,180"
1/09/2020,Architecture,Telecomm,USA,768,"1,180"
1/10/2020,Architecture,Telecomm,USA,768,"1,180"
1/11/2020,Architecture,Telecomm,USA,768,"1,180"
1/12/2020,Architecture,Telecomm,USA,768,"1,180"
1/01/2020,Architecture,Training,USA,119,14
1/03/2020,Architecture,Training,USA,"1,347","1,106"
1/04/2020,Architecture,Training,USA,"1,347",315
1/05/2020,Architecture,Training,USA,"1,347",420
1/07/2020,Architecture,Training,USA,"1,347","1,941"
1/08/2020,Architecture,Training,USA,"1,347","1,941"
1/09/2020,Architecture,Training,USA,"1,347","1,941"
1/10/2020,Architecture,Training,USA,"1,347","1,941"
1/11/2020,Architecture,Training,USA,"1,347","1,941"
1/12/2020,Architecture,Training,USA,119,205
1/02/2020,Architecture,Travel,USA,655,109
1/03/2020,Architecture,Travel,USA,655,"1,649"
1/05/2020,Architecture,Travel,USA,655,"2,399"
1/06/2020,Architecture,Travel,USA,655,"4,446"
1/07/2020,Architecture,Travel,USA,655,442
1/08/2020,Architecture,Travel,USA,655,442
1/09/2020,Architecture,Travel,USA,655,442
1/10/2020,Architecture,Travel,USA,655,442
1/11/2020,Architecture,Travel,USA,655,442
1/07/2020,Business Intelligence,Administrative,USA,"-4,200",-225
1/08/2020,Business Intelligence,Administrative,USA,"-4,200",-225
1/09/2020,Business Intelligence,Administrative,USA,"-4,200",-225
1/10/2020,Business Intelligence,Administrative,USA,"-4,200",-225
1/11/2020,Business Intelligence,Administrative,USA,"-4,200",-225
1/12/2020,Business Intelligence,Administrative,USA,"-4,200",-225
1/01/2020,Business Intelligence,Employee Performance,USA,101,2
1/02/2020,Business Intelligence,Employee Performance,USA,101,22
1/03/2020,Business Intelligence,Employee Performance,USA,101,75
1/04/2020,Business Intelligence,Employee Performance,USA,101,4
1/05/2020,Business Intelligence,Employee Performance,USA,101,38
1/06/2020,Business Intelligence,Employee Performance,USA,101,16
1/07/2020,Business Intelligence,Employee Performance,USA,101,191
1/08/2020,Business Intelligence,Employee Performance,USA,101,191
1/09/2020,Business Intelligence,Employee Performance,USA,101,191
1/10/2020,Business Intelligence,Employee Performance,USA,101,191
1/11/2020,Business Intelligence,Employee Performance,USA,101,191
1/12/2020,Business Intelligence,Employee Performance,USA,101,191
1/01/2020,Business Intelligence,External Labor,USA,"10,271","3,636"
1/02/2020,Business Intelligence,External Labor,USA,"10,271","16,966"
1/03/2020,Business Intelligence,External Labor,USA,"10,271","8,366"
1/04/2020,Business Intelligence,External Labor,USA,"10,271","8,371"
1/05/2020,Business Intelligence,External Labor,USA,"10,271","29,540"
1/06/2020,Business Intelligence,External Labor,USA,"15,389","1,089"
1/07/2020,Business Intelligence,External Labor,USA,"15,389","16,007"
1/08/2020,Business Intelligence,External Labor,USA,"15,389","16,007"
1/09/2020,Business Intelligence,External Labor,USA,"15,389","16,007"
1/10/2020,Business Intelligence,External Labor,USA,"15,389","16,007"
1/11/2020,Business Intelligence,External Labor,USA,"15,389","16,007"
1/12/2020,Business Intelligence,External Labor,USA,"15,389","16,007"
1/03/2020,Business Intelligence,Hardware,USA,125,426
1/04/2020,Business Intelligence,Hardware,USA,125,4
1/05/2020,Business Intelligence,Hardware,USA,125,111
1/06/2020,Business Intelligence,Hardware,USA,125,"1,192"
1/07/2020,Business Intelligence,Hardware,USA,125,136
1/08/2020,Business Intelligence,Hardware,USA,125,136
1/09/2020,Business Intelligence,Hardware,USA,125,136
1/10/2020,Business Intelligence,Hardware,USA,125,136
1/11/2020,Business Intelligence,Hardware,USA,125,136
1/12/2020,Business Intelligence,Hardware,USA,125,136
1/07/2020,Business Intelligence,Hardware Maintenance,USA,125,136
1/08/2020,Business Intelligence,Hardware Maintenance,USA,125,136
1/09/2020,Business Intelligence,Hardware Maintenance,USA,125,136
1/10/2020,Business Intelligence,Hardware Maintenance,USA,125,136
1/11/2020,Business Intelligence,Hardware Maintenance,USA,125,136
1/12/2020,Business Intelligence,Hardware Maintenance,USA,125,136
1/01/2020,Business Intelligence,Internal Labor,USA,"59,420","64,388"
1/02/2020,Business Intelligence,Internal Labor,USA,"60,567","63,595"
1/03/2020,Business Intelligence,Internal Labor,USA,"65,940","70,502"
1/04/2020,Business Intelligence,Internal Labor,USA,"61,026","64,353"
1/05/2020,Business Intelligence,Internal Labor,USA,"61,026","61,849"
1/06/2020,Business Intelligence,Internal Labor,USA,"61,026","62,593"
1/07/2020,Business Intelligence,Internal Labor,USA,"61,455","63,985"
1/08/2020,Business Intelligence,Internal Labor,USA,"61,451","63,981"
1/09/2020,Business Intelligence,Internal Labor,USA,"61,206","63,736"
1/10/2020,Business Intelligence,Internal Labor,USA,"62,287","64,817"
1/11/2020,Business Intelligence,Internal Labor,USA,"61,467","63,997"
1/12/2020,Business Intelligence,Internal Labor,USA,"61,322","63,852"
1/02/2020,Business Intelligence,Other,USA,50,454
1/03/2020,Business Intelligence,Other,USA,50,2
1/04/2020,Business Intelligence,Other,USA,50,12
1/07/2020,Business Intelligence,Other,USA,50,100
1/08/2020,Business Intelligence,Other,USA,50,100
1/09/2020,Business Intelligence,Other,USA,50,100
1/10/2020,Business Intelligence,Other,USA,50,100
1/11/2020,Business Intelligence,Other,USA,50,100
1/12/2020,Business Intelligence,Other,USA,50,100
1/07/2020,Business Intelligence,Recognition,USA,26,56
1/08/2020,Business Intelligence,Recognition,USA,26,56
1/09/2020,Business Intelligence,Recognition,USA,26,56
1/10/2020,Business Intelligence,Recognition,USA,26,56
1/11/2020,Business Intelligence,Recognition,USA,26,56
1/12/2020,Business Intelligence,Recognition,USA,26,56
1/07/2020,Business Intelligence,Software,USA,70,93
1/08/2020,Business Intelligence,Software,USA,70,93
1/09/2020,Business Intelligence,Software,USA,70,93
1/10/2020,Business Intelligence,Software,USA,70,93
1/11/2020,Business Intelligence,Software,USA,70,93
1/12/2020,Business Intelligence,Software,USA,70,93
1/07/2020,Business Intelligence,Software Maintenance,USA,"5,396","5,501"
1/01/2020,Business Intelligence,Supplies,USA,210,19
1/02/2020,Business Intelligence,Supplies,USA,210,18
1/03/2020,Business Intelligence,Supplies,USA,210,336
1/04/2020,Business Intelligence,Supplies,USA,210,136
1/05/2020,Business Intelligence,Supplies,USA,210,107
1/07/2020,Business Intelligence,Supplies,USA,210,210
1/08/2020,Business Intelligence,Supplies,USA,210,210
1/09/2020,Business Intelligence,Supplies,USA,210,210
1/10/2020,Business Intelligence,Supplies,USA,210,210
1/11/2020,Business Intelligence,Supplies,USA,210,210
1/12/2020,Business Intelligence,Supplies,USA,210,210
1/02/2020,Business Intelligence,Telecomm,USA,840,272
1/03/2020,Business Intelligence,Telecomm,USA,840,368
1/04/2020,Business Intelligence,Telecomm,USA,840,111
1/06/2020,Business Intelligence,Telecomm,USA,840,407
1/07/2020,Business Intelligence,Telecomm,USA,840,150
1/08/2020,Business Intelligence,Telecomm,USA,840,150
1/09/2020,Business Intelligence,Telecomm,USA,840,150
1/10/2020,Business Intelligence,Telecomm,USA,840,150
1/11/2020,Business Intelligence,Telecomm,USA,840,150
1/12/2020,Business Intelligence,Telecomm,USA,840,150
1/02/2020,Business Intelligence,Training,USA,"1,505",567
1/03/2020,Business Intelligence,Training,USA,"1,505",264
1/04/2020,Business Intelligence,Training,USA,"1,505",884
1/06/2020,Business Intelligence,Training,USA,"1,505","1,013"
1/07/2020,Business Intelligence,Training,USA,"1,505","2,555"
1/08/2020,Business Intelligence,Training,USA,"1,505","2,555"
1/09/2020,Business Intelligence,Training,USA,"1,505","2,555"
1/10/2020,Business Intelligence,Training,USA,"1,505","2,555"
1/11/2020,Business Intelligence,Training,USA,"1,505","2,555"
1/12/2020,Business Intelligence,Training,USA,"1,505","2,555"
1/02/2020,Business Intelligence,Travel,USA,"2,975",2
1/04/2020,Business Intelligence,Travel,USA,875,659
1/05/2020,Business Intelligence,Travel,USA,"2,975",134
1/06/2020,Business Intelligence,Travel,USA,875,"1,260"
1/07/2020,Business Intelligence,Travel,USA,875,"2,108"
1/08/2020,Business Intelligence,Travel,USA,"2,975","4,208"
1/09/2020,Business Intelligence,Travel,USA,875,"2,108"
1/10/2020,Business Intelligence,Travel,USA,875,"2,108"
1/11/2020,Business Intelligence,Travel,USA,"2,975","4,208"
1/12/2020,Business Intelligence,Travel,USA,875,"2,108"
1/02/2020,Core,Employee Performance,USA,29,60
1/04/2020,Core,Employee Performance,USA,29,53
1/06/2020,Core,Employee Performance,USA,29,784
1/07/2020,Core,Employee Performance,USA,29,29
1/08/2020,Core,Employee Performance,USA,29,29
1/09/2020,Core,Employee Performance,USA,29,29
1/10/2020,Core,Employee Performance,USA,29,29
1/11/2020,Core,Employee Performance,USA,29,29
1/12/2020,Core,Employee Performance,USA,29,29
1/01/2020,Core,Internal Labor,USA,"19,397","20,476"
1/02/2020,Core,Internal Labor,USA,"20,544","21,254"
1/03/2020,Core,Internal Labor,USA,"21,380","23,722"
1/04/2020,Core,Internal Labor,USA,"19,729","20,209"
1/05/2020,Core,Internal Labor,USA,"19,729","19,502"
1/06/2020,Core,Internal Labor,USA,"19,729","19,660"
1/07/2020,Core,Internal Labor,USA,"19,852","36,254"
1/08/2020,Core,Internal Labor,USA,"19,852","36,254"
1/09/2020,Core,Internal Labor,USA,"19,852","36,254"
1/10/2020,Core,Internal Labor,USA,"20,161","36,254"
1/11/2020,Core,Internal Labor,USA,"19,945","36,254"
1/12/2020,Core,Internal Labor,USA,"19,812","36,254"
1/04/2020,Core,Other,USA,400,24
1/05/2020,Core,Other,USA,400,39
1/07/2020,Core,Other,USA,400,"32,296"
1/08/2020,Core,Other,USA,400,"32,296"
1/09/2020,Core,Other,USA,400,"32,296"
1/10/2020,Core,Other,USA,400,"32,296"
1/11/2020,Core,Other,USA,400,"32,296"
1/12/2020,Core,Other,USA,400,"32,296"
1/07/2020,Core,Recognition,USA,8,8
1/08/2020,Core,Recognition,USA,8,8
1/09/2020,Core,Recognition,USA,8,8
1/10/2020,Core,Recognition,USA,8,8
1/11/2020,Core,Recognition,USA,8,8
1/12/2020,Core,Recognition,USA,8,8
1/01/2020,Core Infrastructure,Depreciation,Brazil,"18,716","14,333"
1/02/2020,Core Infrastructure,Depreciation,Brazil,"18,716","12,901"
1/03/2020,Core Infrastructure,Depreciation,Brazil,"18,716","13,464"
1/04/2020,Core Infrastructure,Depreciation,Brazil,"18,716","12,224"
1/05/2020,Core Infrastructure,Depreciation,Brazil,"18,716","17,711"
1/06/2020,Core Infrastructure,Depreciation,Brazil,"18,716","12,884"
1/07/2020,Core Infrastructure,Depreciation,Brazil,"18,716","23,512"
1/08/2020,Core Infrastructure,Depreciation,Brazil,"18,716","23,512"
1/09/2020,Core Infrastructure,Depreciation,Brazil,"18,716","23,512"
1/10/2020,Core Infrastructure,Depreciation,Brazil,"18,716","23,512"
1/11/2020,Core Infrastructure,Depreciation,Brazil,"18,716","23,512"
1/12/2020,Core Infrastructure,Depreciation,Brazil,"18,716","23,512"
1/01/2020,Core Infrastructure,Depreciation,Canada,"12,617","10,731"
1/02/2020,Core Infrastructure,Depreciation,Canada,"12,617","7,173"
1/03/2020,Core Infrastructure,Depreciation,Canada,"12,617","7,037"
1/04/2020,Core Infrastructure,Depreciation,Canada,"12,617","4,937"
1/05/2020,Core Infrastructure,Depreciation,Canada,"12,617","5,033"
1/06/2020,Core Infrastructure,Depreciation,Canada,"12,617","4,900"
1/07/2020,Core Infrastructure,Depreciation,Canada,"12,617","14,584"
1/08/2020,Core Infrastructure,Depreciation,Canada,"12,617","14,584"
1/09/2020,Core Infrastructure,Depreciation,Canada,"12,617","14,584"
1/10/2020,Core Infrastructure,Depreciation,Canada,"12,617","14,584"
1/11/2020,Core Infrastructure,Depreciation,Canada,"12,617","14,584"
1/12/2020,Core Infrastructure,Depreciation,Canada,"12,617","14,584"
1/01/2020,Core Infrastructure,Depreciation,Mexico,"4,616","2,148"
1/02/2020,Core Infrastructure,Depreciation,Mexico,"4,616","2,529"
1/03/2020,Core Infrastructure,Depreciation,Mexico,"4,616","3,773"
1/04/2020,Core Infrastructure,Depreciation,Mexico,"4,616","4,269"
1/05/2020,Core Infrastructure,Depreciation,Mexico,"4,616","4,399"
1/06/2020,Core Infrastructure,Depreciation,Mexico,"4,616","4,369"
1/07/2020,Core Infrastructure,Depreciation,Mexico,"4,616","5,652"
1/08/2020,Core Infrastructure,Depreciation,Mexico,"4,616","5,652"
1/09/2020,Core Infrastructure,Depreciation,Mexico,"4,616","5,652"
1/10/2020,Core Infrastructure,Depreciation,Mexico,"4,616","5,652"
1/11/2020,Core Infrastructure,Depreciation,Mexico,"4,616","5,652"
1/12/2020,Core Infrastructure,Depreciation,Mexico,"4,616","5,652"
1/01/2020,Core Infrastructure,Depreciation,New Zealand,"82,256","5,944"
1/02/2020,Core Infrastructure,Depreciation,New Zealand,"82,256","5,847"
1/03/2020,Core Infrastructure,Depreciation,New Zealand,"82,256","5,959"
1/04/2020,Core Infrastructure,Depreciation,New Zealand,"82,353","6,052"
1/05/2020,Core Infrastructure,Depreciation,New Zealand,"82,353","7,577"
1/06/2020,Core Infrastructure,Depreciation,New Zealand,"82,353","7,990"
1/07/2020,Core Infrastructure,Depreciation,New Zealand,"82,256","9,094"
1/08/2020,Core Infrastructure,Depreciation,New Zealand,"82,256","9,094"
1/09/2020,Core Infrastructure,Depreciation,New Zealand,"82,256","9,094"
1/10/2020,Core Infrastructure,Depreciation,New Zealand,"82,353","9,094"
1/11/2020,Core Infrastructure,Depreciation,New Zealand,"82,353","9,094"
1/12/2020,Core Infrastructure,Depreciation,New Zealand,"82,353","9,094"
1/01/2020,Core Infrastructure,Employee Performance,USA,87,30
1/03/2020,Core Infrastructure,Employee Performance,USA,87,600
1/04/2020,Core Infrastructure,Employee Performance,USA,87,270
1/06/2020,Core Infrastructure,Employee Performance,USA,87,353
1/07/2020,Core Infrastructure,Employee Performance,USA,87,44
1/08/2020,Core Infrastructure,Employee Performance,USA,87,44
1/09/2020,Core Infrastructure,Employee Performance,USA,87,44
1/10/2020,Core Infrastructure,Employee Performance,USA,87,80
1/11/2020,Core Infrastructure,Employee Performance,USA,87,87
1/12/2020,Core Infrastructure,Employee Performance,USA,87,87
1/01/2020,Core Infrastructure,External Labor,Brazil,"24,410","12,109"
1/02/2020,Core Infrastructure,External Labor,Brazil,"24,410","17,786"
1/03/2020,Core Infrastructure,External Labor,Brazil,"24,410","15,448"
1/04/2020,Core Infrastructure,External Labor,Brazil,"24,410","14,780"
1/05/2020,Core Infrastructure,External Labor,Brazil,"24,410","19,994"
1/06/2020,Core Infrastructure,External Labor,Brazil,"24,410","5,579"
1/07/2020,Core Infrastructure,External Labor,Brazil,"24,410","34,537"
1/08/2020,Core Infrastructure,External Labor,Brazil,"24,410","34,537"
1/09/2020,Core Infrastructure,External Labor,Brazil,"24,410","34,537"
1/10/2020,Core Infrastructure,External Labor,Brazil,"24,410","34,537"
1/11/2020,Core Infrastructure,External Labor,Brazil,"24,410","34,537"
1/12/2020,Core Infrastructure,External Labor,Brazil,"24,410","34,537"
1/01/2020,Core Infrastructure,External Labor,Canada,"21,535","15,054"
1/02/2020,Core Infrastructure,External Labor,Canada,"21,535","-7,711"
1/03/2020,Core Infrastructure,External Labor,Canada,"21,535","20,583"
